mode,status,strictP,class,mismatch,kappa,T1,T_alpha,gap_cain,gap_frac,direct_min_margin_alpha,direct_min_margin_alpha1,float_err_est,X,Y,Z,s,a,K,r,m,q1,q2,h,e1,e2,e3,mu1,mu2,c1,c2
lognormal:0.02,feasible,True,classical,False,18.12063830154921,18.12084700584714,39.818302781536424,-1.1517358866397487e-05,-0.5449168589387574,0.15708245573108504,2.8230515953797664e-06,1.4648153775631164e-15,1.0161988750981794,0.03294709400351002,0.0015287310910447657,0.050128097511955266,0.50596751862428513,1.1007124787416964,0.1080653674008024,0.19981614011459378,0.070956494633610284,1.3817353284506944,0.071548180386528118,0.49580163394774962,0.0012977243231112028,0.50403292585723247,0.034000057778316745,0.0029344721567971998,0.049800820145468473,0.049612992551932834
m_sweep,feasible,True,classical,False,17.85632145004942,17.856532655481203,39.29463200410806,-1.1827908354744565e-05,-0.5455786060502454,0.15708252756714525,2.894887655591205e-06,1.4756677024976977e-15,0.9977370870827245,0.04130400642824409,0.0019330385650154355,0.04683009170120568,0.5056842915284615,1.10739615634544,0.10975557142119023,0.23345826831537608,0.069249765403026783,1.3785526914636403,0.06844006447855297,0.49913639978502733,0.0012149814319853828,0.4993366714784751,0.0322918278978363,0.0029863417563489054,0.049940328382341144,0.049835156818564812
m_sweep,feasible,True,classical,False,17.908471618539583,17.90871433332232,39.39801609592614,-1.3552887059287144e-05,-0.5454473754481417,0.15708295074606626,3.3180665766074924e-06,1.4735130098554813e-15,0.9820766121941051,0.040666864141254006,0.0025688331604728125,0.05224623438914528,0.50400740002350564,1.1010458660376823,0.11330152212320299,0.17333625117681184,0.071411777526416864,1.4630412355817579,0.069926068379619483,0.51973637203409939,0.001248165636097718,0.48649622141582216,0.034229330061704061,0.0030476369853666167,0.050190932287958838,0.050290229822671541
lognormal:0.02,feasible,True,frac_only,False,17.98951326135314,17.989241228227186,39.55747957229219,1.5121989999533625e-05,-0.5452310547623012,0.15707592885465838,-3.7038248312804e-06,1.4701866189093522e-15,0.9953572899192777,0.037837798113080204,0.001866182389146543,0.049087771341087286,0.50297534723648851,1.0968988033814988,0.10702297739719326,0.19427865595919752,0.070247890265119503,1.414044616853414,0.070370916010494972,0.50620835309749401,0.0012742631413733057,0.50008633259184931,0.033333780981401426,0.0030312817948818147,0.05100370265390794,0.05025646866343262
lognormal:0.02,feasible,True,frac_only,False,17.94998319104586,17.949699774743028,39.47951215595897,1.5789473160499057e-05,-0.5453342199331985,0.157075766271624,-3.86640786564918e-06,1.4718938016949862e-15,1.0399770903846808,0.034121156884170084,0.0007337144614764247,0.050131161365622824,0.51098745167972326,1.105656590298344,0.10576398378492055,0.19717255393335908,0.070308527595149384,1.3834555361129715,0.070178356631231176,0.48339982834606421,0.0012538661285953546,0.52086361580993179,0.033564487392143162,0.0030159068779549922,0.050697533032020181,0.048180620946180863
lognormal:0.3,feasible,True,frac_only,False,21.3530515915358,21.352706859738777,46.418450608274355,1.6144641486803835e-05,-0.5399878429434373,0.15707563715463135,-3.995524858302346e-06,1.3836638506142943e-15,0.7150752790741868,0.025559035765574292,0.011204693510183215,0.05058182703019889,0.54027906087452826,0.93346292050068769,0.12596787337058524,0.1282354891528503,0.083572274154989024,1.0389070806244802,0.090986096338322248,0.56628925689373899,0.0015116563676531606,0.4677082345499976,0.032000741583056727,0.0013150843493670743,0.032141184824419911,0.079929333442566308
lognormal:0.02,feasible,True,classical,False,17.95153210134489,17.951830940072405,39.48419616911229,-1.664669907563976e-05,-0.54534892835458,0.15708370909386415,4.0764143744986825e-06,1.4719028645271988e-15,0.9935861796460699,0.04087720728510845,0.002348557893672891,0.049713589219869195,0.49643046162791266,1.107163197575316,0.10976726667839162,0.19382592277029984,0.070303199594663981,1.3498260732046756,0.070078821274550965,0.49555761005834209,0.0012514219951886088,0.50762547555097171,0.032501392274925302,0.0030144835954133862,0.047700328309333045,0.050261309424870976
lognormal:0.02,feasible,True,frac_only,False,17.87002825639783,17.869713250035172,39.321018613360486,1.7627947256348975e-05,-0.5455349610316057,0.15707531803910468,-4.3146403849725345e-06,1.4751870399308309e-15,0.986078555722676,0.04395185091273267,0.003049922028899824,0.048559307781588144,0.49587682187527055,1.1240696277007605,0.11203646296778898,0.19933721532480075,0.071048882670025515,1.370134164721085,0.070140801466698807,0.51600961365811482,0.0012471285750076384,0.4947003105623991,0.033691373001856192,0.0030568041469816115,0.051106444551842149,0.050234835005270331
lognormal:0.02,feasible,True,classical,False,18.185404258084976,18.185725148533884,39.946984211633264,-1.7645183037040546e-05,-0.5447615228788893,0.15708395927145902,4.32659196936136e-06,1.462204165718762e-15,1.0332142939658355,0.03364639852667364,0.0018373141585562814,0.049270575205442556,0.51744606629299861,1.1292082388446465,0.10966384588371454,0.20196840930558688,0.070409160390407385,1.4305708964799622,0.071115617752686877,0.49289583679705601,0.0012751461724911576,0.49080663563213545,0.034067912865857218,0.0029668369551130239,0.049291723655117831,0.050254661210928711
m_sweep,feasible,True,frac_only,False,17.782899111603047,17.78252041057407,39.148892381744595,2.1296251613067696e-05,-0.5457623950583251,0.15707442290273255,-5.209776757109097e-06,1.4789353348685073e-15,1.0006422572564422,0.03294842059722361,0.0014938788258396867,0.05532237340899787,0.48761114848566278,1.0775700231981009,0.10916276472969126,0.15470644342619727,0.070499590390764505,1.4103105636399993,0.06882702567202155,0.50034226083323818,0.001265128164820811,0.52969604209733412,0.033594313067441831,0.0029141091570401944,0.04854396796991365,0.048514135346771445
