beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.0158489319246,0.0398107170553,0.063095734448,0.7,0.332476111987,39.2649838923,4145.66509432,0.00939188995578,0.00947133523789,0.333853891859,0.333338877003,0.332807231138
0.0158489319246,0.0398107170553,0.1,0.7,0.411710280617,48.622433173,4155.78148904,0.0116020295327,0.0116999494081,0.334395783006,0.333067902056,0.332536314938
0.0158489319246,0.0398107170553,0.158489319246,0.7,0.523489790527,61.8234437054,4171.77941773,0.0146958026489,0.0148194421408,0.33524903254,0.33264122967,0.33210973779
0.0158489319246,0.0398107170553,0.251188643151,0.7,0.683277489657,80.6941571382,4197.04668919,0.0190667184413,0.0192264139796,0.336587558596,0.33197188858,0.331440552823
0.0158489319246,0.0398107170553,0.398107170553,0.7,0.914655277467,108.019564239,4236.87752181,0.0252846666357,0.0254950877582,0.338675346292,0.330927864848,0.330396788861
0.0158489319246,0.0398107170553,0.63095734448,0.7,1.25383336058,148.076041953,4299.48480579,0.0341587526436,0.0344404152222,0.341903491228,0.329313572278,0.328782936494
0.0158489319246,0.0398107170553,1,0.7,1.75673492296,207.468043466,4397.47681284,0.0467980910743,0.0471788828677,0.346830313241,0.326849781025,0.326319905734
0.0158489319246,0.0398107170553,1.58489319246,0.7,2.51014649487,296.444941861,4549.94150181,0.064637544231,0.0651535721379,0.354209548588,0.323159496306,0.322630955106
0.0158489319246,0.0398107170553,2.51188643151,0.7,3.64929180415,430.976478436,4785.29410102,0.0893682411977,0.0900626940242,0.364977771249,0.317774209859,0.317248018892
0.0158489319246,0.0398107170553,3.98107170553,0.7,5.38556071055,636.027512735,5145.11418064,0.122699465022,0.123617764427,0.380164562215,0.310178772518,0.309656665267
0.0158489319246,0.0398107170553,6.3095734448,0.7,8.0503008217,950.729753795,5689.47675824,0.165923023036,0.16710319669,0.400707709476,0.299903774145,0.29938851638
0.0158489319246,0.0398107170553,10,0.7,12.1640264077,1436.55524034,6504.93636065,0.219381050283,0.220840783167,0.427210393541,0.286646996594,0.286142609865
0.0158489319246,0.0398107170553,15.8489319246,0.7,18.5458602389,2190.24127538,7717.33966023,0.282082553651,0.283807810956,0.459733463176,0.270377410658,0.269889126166
