beta12,beta13,beta23,k,one_minus_alpha,T1,C_beta,T_alpha,rate_(T-T1)/(1-alpha),rel_err_vs_C,D_estimate
2.176504267880788,0.9819088830941076,0.055894011554026596,8,1e-8,7.304210683229446260603054522,72.3737996195774078809384142066,7.304211406967469931050145938670088559284,72.3738023670447091416665510219,3.7962181e-8,274.74673012607281368
2.176504267880788,0.9819088830941076,0.055894011554026596,9,1e-9,7.304210683229446260603054522,72.3737996195774078809384142066,7.304210755603246154927170603651611551167,72.3737998943241160816470332113,3.7962178e-9,274.746708200708619
2.176504267880788,0.9819088830941076,0.055894011554026596,10,1e-10,7.304210683229446260603054522,72.3737996195774078809384142066,7.304210690466826225308262370180142026413,72.3737996470520784817556368651,3.7962178e-10,274.74670600817222658
3.2893936138399926,0.04118395010668622,0.8896280277950922,2,1e-2,8.76046215591787556381496387757,89.7866266915089748200189781474,9.684194339549323950474493569548042489938,92.3732183631448386659529691978,0.028808206,258.65916716358638459
3.2893936138399926,0.04118395010668622,0.8896280277950922,3,1e-3,8.76046215591787556381496387757,89.7866266915089748200189781474,8.850466569568911650631258675896473681113,90.0044136510360868162947983269,0.0024256058,217.78695952711199628
3.2893936138399926,0.04118395010668622,0.8896280277950922,4,1e-4,8.76046215591787556381496387757,89.7866266915089748200189781474,8.769442953526529961398052607538767211553,89.8079760865439758308872996922,0.00023777923,213.49395035001010868
3.2893936138399926,0.04118395010668622,0.8896280277950922,5,1e-5,8.76046215591787556381496387757,89.7866266915089748200189781474,8.761360043491033433113730788714120039603,89.7887573157869298766911144569,2.3729862e-5,213.06242779550566721
3.2893936138399926,0.04118395010668622,0.8896280277950922,6,1e-6,8.76046215591787556381496387757,89.7866266915089748200189781474,8.760551942757586326023396928367246237761,89.7868397107622084330507976956,2.3725054e-6,213.01925323361303182
3.2893936138399926,0.04118395010668622,0.8896280277950922,7,1e-7,8.76046215591787556381496387757,89.7866266915089748200189781474,8.760471134582674864067988677795124466588,89.7866479930025302480022557381,2.3724573e-7,213.01493555427983278
3.2893936138399926,0.04118395010668622,0.8896280277950922,8,1e-8,8.76046215591787556381496387757,89.7866266915089748200189781474,8.760463053784163780355090489258841995929,89.786628821654012661168929134,2.3724525e-8,213.0145037841149951
3.2893936138399926,0.04118395010668622,0.8896280277950922,9,1e-9,8.76046215591787556381496387757,89.7866266915089748200189781474,8.760462245704502468338399304664724878554,89.7866269045234354270951742223,2.372452e-9,213.01446060707619607
3.2893936138399926,0.04118395010668622,0.8896280277950922,10,1e-10,8.76046215591787556381496387757,89.7866266915089748200189781474,8.760462164896538235096005922465169401161,89.7866267128104204489561874494,2.3724519e-10,213.01445628937209302
2.1356167287878405,31.54721030080625,0.9381051578657371,2,1e-2,64.7481508177307859221368329292,406.832049322676387779219234453,69.017253917351576524631870415088781671,426.910309962079060249503748584,0.049352701,2007.826063940267247
2.1356167287878405,31.54721030080625,0.9381051578657371,3,1e-3,64.7481508177307859221368329292,406.832049322676387779219234453,65.15691222495899684468744392963103497296,408.761407228210922550611000385,0.0047423941,1929.3579055345347714
2.1356167287878405,31.54721030080625,0.9381051578657371,4,1e-4,64.7481508177307859221368329292,406.832049322676387779219234453,64.78885324065411435796046408303994603266,407.024229233284358236311537944,0.00047238144,1921.7991060797045709
2.1356167287878405,31.54721030080625,0.9381051578657371,5,1e-5,64.7481508177307859221368329292,406.832049322676387779219234453,64.75221933032861122833825644335793872844,406.851259782530620142351411239,4.7219632e-5,1921.0459854232363132
2.1356167287878405,31.54721030080625,0.9381051578657371,6,1e-6,64.7481508177307859221368329292,406.832049322676387779219234453,64.74855765170107929935758142416847637967,406.833970293377220748494922932,4.7217782e-6,1920.9707008329692757
2.1356167287878405,31.54721030080625,0.9381051578657371,7,1e-7,64.7481508177307859221368329292,406.832049322676387779219234453,64.74819150095492782150209664292679507802,406.83224141899365263713681251,4.7217597e-7,1920.9631726485791758
2.1356167287878405,31.54721030080625,0.9381051578657371,8,1e-8,64.7481508177307859221368329292,406.832049322676387779219234453,64.74815488605147124514269401007935516124,406.832068532300586108083381109,4.7217578e-8,1920.9624198328864147
2.1356167287878405,31.54721030080625,0.9381051578657371,9,1e-9,64.7481508177307859221368329292,406.832049322676387779219234453,64.7481512245628371657755652598093794511,406.832051243638732330563835378,4.7217577e-9,1920.9623445513446009
2.1356167287878405,31.54721030080625,0.9381051578657371,10,1e-10,64.7481508177307859221368329292,406.832049322676387779219234453,64.74815085841399087361409507739937445982,406.83204951477262148153830387,4.7217576e-10,1920.9623370231906942
4.552740910392757,1.777857585571356,2.243911064231034,2,1e-2,24.6516969155513742113022335629,155.34311172805961536179155914,26.28352866018395820954915133240599624714,163.183174463258399824691776947,0.05046933,784.00627351987844629
