mech,index,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,float_mismatch,hp_dps,theorem_pred_member,gap_kappa_over_T_minus_1,hp_min_margin,hp_margin_independent_start,consistent
M4a,56412,0.6666667666666666,-1.2206681714232963,724199.0982004118,2.2792955196328824e-08,4.998824713851926e-07,-0.3641530286086219,-2143887.469847334,961077310.9282484,6.669865757581523e-06,-20.031078857828994,False,40,True,-7.44795576968e-10,3.89974093277e-17,3.89974093277e-17,True
M4a,382607,0.6666667666666666,-0.7105748893734003,206014869.1603525,1.4259955561833178e-06,8.224519270624377e-11,-0.05808902279658087,-92846.31938894001,521855.5065633983,2.1217378911515565e-06,-1.4430358613262295,False,40,True,-7.45574625482e-10,3.90382024917e-17,3.90382024917e-17,True
M4d,6237,0.6666666766799292,-116.61260186527112,-60972079637.185,1.2541903585959787e-06,-2.3461714833307217e-09,-3.6731557325182482,15739299.332434991,640551100.1071861,1.5672946585736877e-06,-8.597652736086282,False,40,False,7.47750957435e-9,-3.92040738798e-17,-1.31643726338e-17,True
M4d,69095,0.6666666772162247,-1.2660191548813189,63996089.551730044,2.575695636832765e-08,1.124557171273455e-09,-0.07279916568962788,2195799.497999632,-76184041.15977612,-8.346762483377758e-09,-0.8137930132091449,False,40,False,7.10623048108e-9,-3.92529395012e-17,-3.92529395012e-17,True
M4a,380394,0.6666667666666666,-0.8466470024110477,1063752.9344598975,1.744785682816243e-09,1.861645999887729e-05,-40.26843411991276,-51858987.116535336,300948726.5705463,-9.919011189612443e-08,-2.90574752957802,False,40,True,-7.50806134622e-10,3.93121188373e-17,3.93121188373e-17,True
M4a,324261,0.6666667666666666,-0.16638034716702194,-9.254086780838397e-08,-2077827.2773867147,50199425.32109488,-2.9847834727918703,-2.4292067802079047e-06,1.5226773878202743e-07,1206900.6358501865,-1.5126260566969278,False,40,True,-7.55007097259e-10,3.95321096537e-17,3.95321096537e-17,True
M4a,44690,0.6666667666666666,-1.3612127352118752,15633555.508198256,-2.8882298130013864e-07,-6.701293480348265e-08,-0.6984984726268264,3308460.618574897,-30537889.963363513,1.2295578748961222e-06,-9.912858773635444,False,40,True,-7.60054941413e-10,3.97963869296e-17,3.97963869296e-17,True
M4a,423100,0.6666667666666666,-0.16540219844350162,-1.0850704030049437e-07,-3341413.1161547103,304590.0477813963,-0.04394973540376309,-1.5234157223860104e-07,-1.4612217493024153e-07,3958199.7326473407,-3.3068389706628945,False,40,True,-7.61907214559e-10,3.98933908887e-17,3.98933908887e-17,True
M4a,441594,0.6666667666666666,-1.4229710952257444,33786606.821480915,-5.306586985914797e-06,1.98443747022339e-09,-0.05275876237650091,-404321.0486703235,17149051.755989973,8.937843428241307e-06,-18.620334967317078,False,40,True,-7.62373798848e-10,3.99178173787e-17,3.99178173787e-17,True
M4a,418540,0.6666667666666666,-0.14770294468578674,-57849994.219485566,-1.2253493947149203e-06,5.726297587432395e-09,-1.8027147671184731,4439935.522507871,593193.1422693064,3.7042421378605245e-08,-3.414501771139251,False,40,True,-7.62665976828e-10,3.99331071907e-17,3.99331071907e-17,True
