alpha,R3,R3^3,s,t_boundary,margin_simplex_inside,margin_direct_eig_inside,margin_simplex_outside,margin_direct_eig_outside
0.9,2.756073309145875,20.934967727204402,12.142281281778555,8.792686445425437,5.721983886708415e-08,5.721984019935178e-08,-5.721980222972434e-08,-5.721980156359052e-08
0.9,2.756073309145875,20.934967727204402,12.97967999086673,7.955287736337132,5.1770330244949037e-08,5.177033135517206e-08,-5.177029760439211e-08,-5.177029738234751e-08
0.9,2.756073309145875,20.934967727204402,13.817078699954905,7.117889027249717,4.63208160716988e-08,4.632081695987722e-08,-4.6320798308130406e-08,-4.6320797864041197e-08
0.9,2.756073309145875,20.934967727204402,14.654477409043082,6.2804903181614105,4.08713078936529e-08,4.087130900387592e-08,-4.087129323870897e-08,-4.087129257257516e-08
0.9,2.756073309145875,20.934967727204402,15.491876118131257,5.443091609073106,3.5421799715606994e-08,3.5421801047874624e-08,-3.542178772519833e-08,-3.542178728110912e-08
0.9,2.756073309145875,20.934967727204402,16.329274827219432,4.6056928999847955,2.9972291759605696e-08,2.9972292647784116e-08,-2.9972281767598474e-08,-2.997228065737545e-08
0.9,2.756073309145875,20.934967727204402,17.16667353630761,3.768294190896489,2.4522784691782817e-08,2.4522785135872027e-08,-2.4522776032043225e-08,-2.452277536590941e-08
0.9,2.756073309145875,20.934967727204402,18.004072245395786,2.930895481808182,1.9073277401915334e-08,1.907327806804915e-08,-1.9073269408309557e-08,-1.9073268742175742e-08
0.9,2.756073309145875,20.934967727204402,18.841470954483963,2.0934967727198743,1.362377055613706e-08,1.362377144431548e-08,-1.3623763006620493e-08,-1.3623761674352863e-08
0.9,2.756073309145875,20.934967727204402,19.67886966357214,1.2560980636324603,8.174258381288269e-09,8.174259491511293e-09,-8.174261711957342e-09,-8.174260823778923e-09
0.9,2.756073309145875,20.934967727204402,20.516268372660313,0.41869935454415347,2.7247524236884146e-09,2.7247530898222294e-09,-2.724754200045254e-09,-2.724753755956044e-09
0.9,2.756073309145875,20.934967727204402,20.83029288856838,0.10467483863548055,6.811913255688751e-10,6.8119154761348e-10,-6.811853303645421e-10,-6.811846642307273e-10
0.85,3.4236527657030025,40.12999757111764,0.0,40.12999757111622,1.062971801690793e-07,1.0629718172339153e-07,-1.0629702873465874e-07,-1.0629702629216808e-07
0.85,3.4236527657030025,40.12999757111764,0.8025999514223529,39.32739761969461,1.0417123452732824e-07,1.0417123563755126e-07,-1.0417109019833504e-07,-1.0417108931015662e-07
0.85,3.4236527657030025,40.12999757111764,2.4077998542670582,37.722197716849635,9.991934524222756e-08,9.991934590836138e-08,-9.991921090524158e-08,-9.991921112728619e-08
0.85,3.4236527657030025,40.12999757111764,4.012999757111764,36.11699781400638,9.56674517382794e-08,9.56674521823686e-08,-9.566733605304023e-08,-9.566733627508484e-08
0.85,3.4236527657030025,40.12999757111764,5.61819965995647,34.51179791116144,9.141556311931254e-08,9.141556311931254e-08,-9.141545653790217e-08,-9.141545564972375e-08
0.85,3.4236527657030025,40.12999757111764,7.223399562801175,32.90659800831648,8.716367450034568e-08,8.716367516647949e-08,-8.71635765786749e-08,-8.716357591254109e-08
0.85,3.4236527657030025,40.12999757111764,8.828599465645881,31.30139810547152,8.291178654751263e-08,8.291178699160184e-08,-8.291169639740303e-08,-8.291169573126922e-08
0.85,3.4236527657030025,40.12999757111764,10.433799368490588,29.69619820262657,7.865989837263498e-08,7.86598992608134e-08,-7.865981599408656e-08,-7.865981554999735e-08
0.85,3.4236527657030025,40.12999757111764,12.038999271335294,28.09099829978161,7.440801086389115e-08,7.440801130798036e-08,-7.440793536872548e-08,-7.440793403645785e-08
0.85,3.4236527657030025,40.12999757111764,13.644199174179999,26.485798396936655,7.015612313310271e-08,7.015612424332573e-08,-7.015605452131979e-08,-7.015605429927518e-08
0.85,3.4236527657030025,40.12999757111764,15.249399077024703,24.88059849409341,6.590423140551138e-08,6.590423140551138e-08,-6.59041781148062e-08,-6.590417722662778e-08
0.85,3.4236527657030025,40.12999757111764,16.85459897986941,23.27539859124845,6.165234411881215e-08,6.165234478494597e-08,-6.165229704535591e-08,-6.165229571308828e-08
0.85,3.4236527657030025,40.12999757111764,18.459798882714114,21.6701986884035,5.740045749824674e-08,5.740045816438055e-08,-5.74004150877272e-08,-5.740041486568259e-08
0.85,3.4236527657030025,40.12999757111764,20.06499878555882,20.064998785558537,5.314857087768132e-08,5.314857132177053e-08,-5.314853335214309e-08,-5.3148533130098485e-08
0.85,3.4236527657030025,40.12999757111764,21.670198688403527,18.459798882713578,4.889668470120512e-08,4.889668470120512e-08,-4.889665139451438e-08,-4.889665139451438e-08
0.85,3.4236527657030025,40.12999757111764,23.275398591248234,16.854598979868616,4.464479852472891e-08,4.464479874677352e-08,-4.464476921484106e-08,-4.464476877075185e-08
0.85,3.4236527657030025,40.12999757111764,24.880598494092936,15.249399077025373,4.0392908129405214e-08,4.039290879553903e-08,-4.039289125401524e-08,-4.039289036583682e-08
0.85,3.4236527657030025,40.12999757111764,26.485798396937646,13.644199174180422,3.6141022619062824e-08,3.6141023507241243e-08,-3.6141008630252713e-08,-3.6141007297985084e-08
0.85,3.4236527657030025,40.12999757111764,28.090998299782353,12.038999271335463,3.188913733076504e-08,3.188913821894346e-08,-3.188912534035637e-08,-3.188912400808874e-08
0.85,3.4236527657030025,40.12999757111764,29.696198202627055,10.433799368490504,2.7637252042467253e-08,2.7637252930645673e-08,-2.7637242272504636e-08,-2.763724205046003e-08
