alpha,b,g=1-b,W_alpha,W_over_T1
0.7,398.107170553,-397.107170553,696259.39715,194.324948057
0.7,421.696503429,-420.696503429,752417.603569,198.251480087
0.7,446.683592151,-445.683592151,813303.485233,202.306633829
0.7,473.151258961,-472.151258961,879324.705231,206.493680774
0.7,501.187233627,-500.187233627,950924.621929,210.816006946
0.7,530.884444231,-529.884444231,1028585.44583,215.27711539
0.7,562.34132519,-561.34132519,1112831.6775,219.88062877
0.7,595.662143529,-594.662143529,1204233.85158,224.630292088
0.7,630.95734448,-629.95734448,1303412.61451,229.529975523
0.7,668.343917569,-667.343917569,1411043.16548,234.583677387
0.7,707.945784384,-706.945784384,1527860.09339,239.795527204
0.7,749.894209332,-748.894209332,1654662.6451,245.169788916
0.7,794.328234724,-793.328234724,1792320.46373,250.710864208
0.7,841.395141645,-840.395141645,1941779.83884,256.423295961
0.7,891.250938134,-890.250938134,2104070.51463,262.311771841
0.7,944.060876286,-943.060876286,2280313.10595,268.381128005
0.7,1000,-999,2471727.17663,274.636352958
0.8,0.001,0.999,43.734034465,4859.33716278
0.8,0.00105925372518,0.998940746275,43.7368258176,4587.80290081
0.8,0.0011220184543,0.998877981546,43.7397825082,4331.45802158
0.8,0.00118850222744,0.998811497773,43.7429143267,4089.45284399
0.8,0.00125892541179,0.998741074588,43.7462316417,3860.98521731
0.8,0.00133352143216,0.998666478568,43.7497454355,3645.29786243
0.8,0.00141253754462,0.998587462455,43.7534673399,3441.67586172
0.8,0.00149623565609,0.998503764344,43.7574096746,3249.4442894
0.8,0.00158489319246,0.998415106808,43.7615854881,3067.96597443
0.8,0.00167880401812,0.998321195982,43.7660086004,2896.63938851
0.8,0.00177827941004,0.99822172059,43.7706936485,2734.89665231
0.8,0.00188364908949,0.998116350911,43.7756561349,2582.20165311
0.8,0.00199526231497,0.998004737685,43.7809124784,2438.04826786
0.8,0.00211348903984,0.99788651096,43.7864800682,2301.95868553
0.8,0.00223872113857,0.997761278861,43.7923773211,2173.4818234
0.8,0.00237137370566,0.997628626294,43.7986237421,2052.19183189
0.8,0.00251188643151,0.997488113568,43.8052399883,1937.68668302
0.8,0.0026607250598,0.99733927494,43.8122479371,1829.58683786
0.8,0.00281838293126,0.997181617069,43.8196707577,1727.53398852
0.8,0.00298538261892,0.997014617381,43.8275329873,1631.18987048
0.8,0.00316227766017,0.99683772234,43.8358606115,1540.2351414
0.8,0.00334965439158,0.996650345608,43.8446811495,1454.36832262
0.8,0.00354813389234,0.996451866108,43.8540237442,1373.30479986
0.8,0.00375837404288,0.996241625957,43.8639192575,1296.77587988
0.8,0.00398107170553,0.996018928294,43.8744003716,1224.52789982
0.8,0.00421696503429,0.995783034966,43.8855016953,1156.32138644
0.8,0.00446683592151,0.995533164078,43.8972598773,1091.93026236
0.8,0.00473151258961,0.99526848741,43.9097137257,1031.14109669
0.8,0.00501187233627,0.994988127664,43.9229043347,973.752397589
0.8,0.00530884444231,0.994691155558,43.936875218,919.573944439
0.8,0.0056234132519,0.994376586748,43.9516724508,868.42615729
0.8,0.00595662143529,0.994043378565,43.9673448193,820.139501654
0.8,0.0063095734448,0.993690426555,43.9839439792,774.553926557
0.8,0.00668343917569,0.993316560824,44.0015246229,731.518334037
0.8,0.00707945784384,0.992920542156,44.0201446573,690.890078314
0.8,0.00749894209332,0.992501057907,44.0398653904,652.534492974
0.8,0.00794328234724,0.992056717653,44.0607517296,616.324444613
0.8,0.00841395141645,0.991586048584,44.0828723911,582.139911429
0.8,0.00891250938134,0.991087490619,44.1063001213,549.867585411
0.8,0.00944060876286,0.990559391237,44.1311119304,519.400496761
0.8,0.01,0.99,44.15738934,490.637659333
0.8,0.0105925372518,0.989407462748,44.1852186442,463.483735912
0.8,0.011220184543,0.988779815457,44.2146911856,437.848722205
0.8,0.0118850222744,0.988114977726,44.2459036471,413.647648515
0.8,0.0125892541179,0.987410745882,44.27895836,390.800298106
0.8,0.0133352143216,0.986664785678,44.3139636293,369.230941313
0.8,0.0141253754462,0.985874624554,44.3510340775,348.868084536
0.8,0.0149623565609,0.985037643439,44.3902910074,329.644233265
0.8,0.0158489319246,0.984151068075,44.4318627856,311.495668372
0.8,0.0167880401812,0.983211959819,44.4758852466,294.362234904
0.8,0.0177827941004,0.9822172059,44.5225021201,278.1871427
0.8,0.0188364908949,0.981163509105,44.5718654813,262.91677816
0.8,0.0199526231497,0.98004737685,44.6241362265,248.500526537
0.8,0.0211348903984,0.978865109602,44.6794845749,234.890604182
0.8,0.0223872113857,0.977612788614,44.7380905974,222.041900156
0.8,0.0237137370566,0.976286262943,44.800144775,209.911826719
0.8,0.0251188643151,0.974881135685,44.8658485873,198.460178173
0.8,0.026607250598,0.973392749402,44.9354151329,187.648997602
0.8,0.0281838293126,0.971816170687,45.0090697839,177.44245107
0.8,0.0298538261892,0.970146173811,45.0870508755,167.806708854
0.8,0.0316227766017,0.968377223398,45.1696104329,158.709833323
0.8,0.0334965439158,0.966503456084,45.2570149372,150.121673086
0.8,0.0354813389234,0.964518661077,45.3495461329,142.013763068
0.8,0.0375837404288,0.962416259571,45.4475018781,134.359230169
0.8,0.0398107170553,0.960189282945,45.5511970411,127.132704207
0.8,0.0421696503429,0.957830349657,45.6609644437,120.310233841
0.8,0.0446683592151,0.955331640785,45.7771558565,113.869207199
