triple,regime,alpha,W_alpha,C_beta*(1-alpha),27/K^3+(9S-27)/K^2
antagonistic_mixed_1.5_4_2,alpha->1,0.999998685853,0.00017958961427,0.000179588452431,67.5000000028
antagonistic_mixed_1.5_4_2,alpha->1,0.999998339117,0.000226974398714,0.000226972542877,67.5000000044
antagonistic_mixed_1.5_4_2,alpha->1,0.999997900896,0.000286861804771,0.000286858840422,67.500000007
antagonistic_mixed_1.5_4_2,alpha->1,0.999997347052,0.000362550764976,0.000362546029976,67.5000000113
antagonistic_mixed_1.5_4_2,alpha->1,0.999996647076,0.000458210711749,0.000458203148455,67.500000018
antagonistic_mixed_1.5_4_2,alpha->1,0.999995762413,0.000579111306745,0.000579099225762,67.5000000287
antagonistic_mixed_1.5_4_2,alpha->1,0.999994644333,0.000731912812991,0.0007318935158,67.5000000459
antagonistic_mixed_1.5_4_2,alpha->1,0.99999323125,0.00092503312851,0.000925002304684,67.5000000733
antagonistic_mixed_1.5_4_2,alpha->1,0.999991445327,0.00116911173615,0.00116906250048,67.500000117
antagonistic_mixed_1.5_4_2,alpha->1,0.999989188192,0.00147759618588,0.00147751754034,67.5000001869
antagonistic_mixed_1.5_4_2,alpha->1,0.999986335517,0.00186748351123,0.00186735788817,67.5000002985
antagonistic_mixed_1.5_4_2,alpha->1,0.999982730167,0.00236025757362,0.00236005691121,67.5000004769
antagonistic_mixed_1.5_4_2,alpha->1,0.999978173553,0.00298307421301,0.00298275368605,67.5000007617
antagonistic_mixed_1.5_4_2,alpha->1,0.999972414684,0.0037702598805,0.00376974788591,67.5000012167
antagonistic_mixed_1.5_4_2,alpha->1,0.999965136348,0.00476520693251,0.00476438909112,67.5000019434
antagonistic_mixed_1.5_4_2,alpha->1,0.999955937636,0.00602277099182,0.0060214645909,67.5000031042
antagonistic_mixed_1.5_4_2,alpha->1,0.99994431186,0.00761230403902,0.00761021720223,67.5000049584
antagonistic_mixed_1.5_4_2,alpha->1,0.999929618644,0.00962149288024,0.00961815933497,67.5000079201
antagonistic_mixed_1.5_4_2,alpha->1,0.99991104865,0.0121612185383,0.012155893391,67.5000126509
antagonistic_mixed_1.5_4_2,alpha->1,0.999887578996,0.0153717108177,0.0153632040173,67.5000202074
antagonistic_mixed_1.5_4_2,alpha->1,0.999857916917,0.0194303475768,0.0194167577886,67.5000322775
antagonistic_mixed_1.5_4_2,alpha->1,0.999820428551,0.0245615451506,0.024539834438,67.5000515572
antagonistic_mixed_1.5_4_2,alpha->1,0.999773048946,0.0310493116664,0.0310146256547,67.500082353
antagonistic_mixed_1.5_4_2,alpha->1,0.999713168319,0.0392531978801,0.0391977788984,67.5001315436
antagonistic_mixed_1.5_4_2,alpha->1,0.999637488295,0.0496285933083,0.0495400424198,67.5002101163
antagonistic_mixed_1.5_4_2,alpha->1,0.999541840233,0.0627525965385,0.0626110935855,67.5003356218
antagonistic_mixed_1.5_4_2,alpha->1,0.999420955602,0.0793570628013,0.0791309181118,67.5005360939
antagonistic_mixed_1.5_4_2,alpha->1,0.999268175778,0.100370935438,0.100009468652,67.5008563122
antagonistic_mixed_1.5_4_2,alpha->1,0.999075085272,0.126974654012,0.126396787232,67.5013678052
antagonistic_mixed_1.5_4_2,alpha->1,0.998831048184,0.160670379972,0.1597463524,67.5021848305
antagonistic_mixed_1.5_4_2,alpha->1,0.998522622347,0.203373111888,0.201895140407,67.5034899034
antagonistic_mixed_1.5_4_2,alpha->1,0.998132818909,0.25752966345,0.255164810384,67.5055745851
antagonistic_mixed_1.5_4_2,alpha->1,0.997640166533,0.326275244029,0.322489587056,67.5089046582
antagonistic_mixed_1.5_4_2,alpha->1,0.997017528714,0.413641488451,0.407577885066,67.5142242983
antagonistic_mixed_1.5_4_2,alpha->1,0.996230609025,0.524836008977,0.515116577596,67.5227226324
antagonistic_mixed_1.5_4_2,alpha->1,0.99523606199,0.666623194907,0.651029160896,67.5363002082
