triple,beta12,beta13,beta23,alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,band_width_in_L3,realizability_2sqrtG_if_G>0,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666750802346474,1,-8,-281443382485.208,281443382477.208,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666755820564966,1,-8,-236546529726.851,236546529718.851,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666761138091871,1,-8,-198811944963.048,198811944955.048,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666766772779247,1,-8,-167097034123.129,167097034115.129,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666772743543927,1,-8,-140441482700.964,140441482692.964,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666779070431024,1,-8,-118038176237.8,118038176229.8,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666785774681232,1,-8,-99208759959.6979,99208759951.6979,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666792878802131,1,-8,-83383097463.1701,83383097455.1701,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66680040664375,1,-8,-70082006418.6813,70082006410.6813,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666808383478639,1,-8,-58902748500.5569,58902748492.5569,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666816836086713,1,-8,-49506834148.0542,49506834140.0542,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666825792845157,1,-8,-41609772868.062,41609772860.062,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666835283823696,1,-8,-34972458696.2373,34972458688.2373,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666845340885544,1,-8,-29393929957.6019,29393929949.6019,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666855997794376,1,-8,-24705284079.1926,24705284071.1926,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666867290327678,1,-8,-20764563184.7709,20764563176.7709,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666879256396864,1,-8,-17452455600.9021,17452455592.9021,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666891936174548,1,-8,-14668683109.4247,14668683101.4247,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666905372229415,1,-8,-12328964546.7428,12328964538.7428,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666919609669129,1,-8,-10362463804.5362,10362463796.5362,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666934696291775,1,-8,-8709644953.65534,8709644945.65534,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666950682746323,1,-8,-7320469541.9866,7320469533.9866,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666967622702667,1,-8,-6152881478.70211,6152881470.70211,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666985573031808,1,-8,-5171533625.24819,5171533617.24819,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667004593996783,1,-8,-4346717533.69808,4346717525.69808,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667024749454976,1,-8,-3653463923.4821,3653463915.4821,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667046107072505,1,-8,-3070786658.79062,3070786650.79062,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667068738551391,1,-8,-2581047333.53579,2581047325.53579,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667092719870275,1,-8,-2169421223.36343,2169421215.36343,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667118131539495,1,-8,-1823448433.49487,1823448425.49487,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667145058871377,1,-8,-1532656651.08142,1532656643.08142,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667173592266644,1,-8,-1288244078.99168,1288244070.99168,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667203827517915,1,-8,-1082812950.26215,1082812942.26215,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667235866131295,1,-8,-910145554.137201,910145546.137201,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667269815667157,1,-8,-765015991.816809,765015983.816809,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667305790101244,1,-8,-643031962.004218,643031954.004218,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667343910207308,1,-8,-540501785.635233,540501777.635233,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667384303962572,1,-8,-454322643.433745,454322635.433745,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667427106977381,1,-8,-381886642.246687,381886634.246687,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66747246295047,1,-8,-321001865.988137,321001857.988137,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.667520524151393,1,-8,-269826020.735094,269826012.735094,0,FLOAT
