alpha,s,beta12=e^s,beta13=1,beta23=e^-s/2,x1,x2,x3,cain_x1,cain_x2,cain_x3,evidence
0.75,0.96,2.61169647342,1,0.618783391806,0.299902022235,0.318360847169,0.381737130596,0.231177399669,0.293884072902,0.474938527429,FLOAT
0.75,0.97,2.63794445935,1,0.615697196764,0.299513046171,0.318121345769,0.38236560806,0.230185058211,0.293355031274,0.476459910515,FLOAT
0.75,0.98,2.66445624193,1,0.612626394184,0.299123150155,0.317880053775,0.38299679607,0.229194664883,0.292823988727,0.477981346391,FLOAT
0.75,0.99,2.69123447235,1,0.609570907296,0.298732333379,0.317636970631,0.383630695989,0.228206232307,0.292290960955,0.479502806739,FLOAT
0.75,1,2.71828182846,1,0.606530659713,0.298340595105,0.317392095857,0.384267309039,0.227219773018,0.291755963729,0.481024263253,FLOAT
0.75,1.01,2.74560101502,1,0.603505575427,0.297947934665,0.317145429037,0.384906636298,0.226235299462,0.291219012892,0.482545687645,FLOAT
0.75,1.02,2.77319476396,1,0.600495578812,0.297554351465,0.316896969831,0.385548678705,0.225252823996,0.29068012436,0.484067051643,FLOAT
0.75,1.03,2.8010658347,1,0.597500594618,0.29715984498,0.316646717967,0.386193437053,0.224272358885,0.290139314119,0.485588326995,FLOAT
0.75,1.04,2.82921701435,1,0.59452054797,0.296764414758,0.316394673247,0.386840911995,0.223293916304,0.289596598224,0.487109485472,FLOAT
0.75,1.05,2.85765111806,1,0.591555364367,0.296368060418,0.316140835543,0.387491104039,0.222317508334,0.289051992798,0.488630498867,FLOAT
0.75,1.06,2.88637098927,1,0.588604969678,0.295970781652,0.315885204799,0.388144013549,0.221343146966,0.288505514031,0.490151339003,FLOAT
0.75,1.07,2.91537949998,1,0.585669290145,0.295572578221,0.315627781032,0.388799640747,0.220370844094,0.287957178179,0.491671977727,FLOAT
0.75,1.08,2.94467955107,1,0.582748252374,0.29517344996,0.315368564331,0.389457985709,0.21940061152,0.287407001561,0.493192386919,FLOAT
0.75,1.09,2.97427407256,1,0.57984178334,0.294773396774,0.315107554856,0.390119048369,0.218432460951,0.286855000559,0.49471253849,FLOAT
0.75,1.1,3.00416602395,1,0.57694981038,0.294372418641,0.314844752844,0.390782828515,0.217466403997,0.286301191616,0.496232404387,FLOAT
0.75,1.11,3.03435839444,1,0.574072261196,0.293970515609,0.314580158601,0.39144932579,0.216502452172,0.285745591236,0.497751956592,FLOAT
0.75,1.12,3.06485420329,1,0.571209063849,0.293567687799,0.314313772507,0.392118539693,0.215540616893,0.285188215981,0.499271167126,FLOAT
0.75,1.13,3.09565650012,1,0.568360146758,0.293163935403,0.314045595018,0.392790469579,0.214580909479,0.284629082471,0.500790008051,FLOAT
0.75,1.14,3.12676836519,1,0.5655254387,0.292759258683,0.313775626662,0.393465114656,0.213623341149,0.28406820738,0.502308451471,FLOAT
0.75,1.15,3.15819290969,1,0.562704868807,0.292353657974,0.313503868038,0.394142473987,0.212667923026,0.28350560744,0.503826469534,FLOAT
0.75,1.16,3.18993327612,1,0.559898366565,0.291947133683,0.313230319824,0.394822546493,0.21171466613,0.282941299434,0.505344034436,FLOAT
0.75,1.17,3.22199263853,1,0.557105861812,0.291539686286,0.312954982769,0.395505330945,0.210763581382,0.282375300197,0.506861118421,FLOAT
0.75,1.18,3.25437420289,1,0.554327284735,0.291131316332,0.312677857697,0.396190825971,0.209814679603,0.281807626614,0.508377693783,FLOAT
0.75,1.19,3.28708120738,1,0.551562565868,0.290722024439,0.312398945506,0.396879030055,0.20886797151,0.281238295621,0.509893732869,FLOAT
0.75,1.2,3.32011692274,1,0.548811636094,0.290311811297,0.312118247169,0.397569941534,0.207923467718,0.280667324201,0.511409208081,FLOAT
0.75,1.21,3.35348465255,1,0.54607442664,0.289900677667,0.311835763734,0.398263558599,0.206981178741,0.280094729382,0.512924091878,FLOAT
